Company name;Headquarter country;Headquarter country code;Year;Partner jurisdiction;Partner jurisdiction code;Revenue;Profit before tax;CIT paid;CIT accrued;FTEs;Statutory CIT rate;Exchange rate to EUR
Repsol;Spain;ESP;2019;Spain;ESP;85108;1047;206;187;17070;0,25;1
Repsol;Spain;ESP;2019;Peru;PER;5268;80;27;32;3032;0,295;1
Repsol;Spain;ESP;2019;United States;USA;3632;-1861;-1;-58;538;0,27;1
Repsol;Spain;ESP;2019;Portugal;PRT;3222;79;6;19;1349;0,21;1
Repsol;Spain;ESP;2019;Canada;CAN;1730;-3006;2;-37;535;0,265;1
Repsol;Spain;ESP;2019;Singapore;SGP;1401;11;1;1;42;0,17;1
Repsol;Spain;ESP;2019;Italy;ITA;892;25;0;0;44;0,24;1
Repsol;Spain;ESP;2019;Mexico;MEX;843;-29;1;1;106;0,3;1
Repsol;Spain;ESP;2019;Libya;LBY;652;522;360;360;42;;1
Repsol;Spain;ESP;2019;Indonesia;IDN;629;245;185;180;70;0,25;1
Repsol;Spain;ESP;2019;Norway;NOR;515;185;40;64;260;0,23;1
Repsol;Spain;ESP;2019;Algeria;DZA;386;29;97;103;89;0,26;1
Repsol;Spain;ESP;2019;Malaysia;MYS;339;54;-4;28;387;0,24;1
Repsol;Spain;ESP;2019;Netherlands;NLD;320;42;9;17;10;0,25;1
Repsol;Spain;ESP;2019;Bolivia;BOL;186;29;17;12;251;0,25;1
Repsol;Spain;ESP;2019;Colombia;COL;159;-139;6;14;55;0,33;1
Repsol;Spain;ESP;2019;Vietnam;VNM;118;-358;20;20;56;0,2;1
Repsol;Spain;ESP;2019;Luxembourg;LUX;89;69;0;8;4;0,2601;1
Repsol;Spain;ESP;2019;Ecuador;ECU;83;5;4;0;420;0,25;1
Repsol;Spain;ESP;2019;Venezuela;VEN;13;-8;1;0;142;0,34;1
Repsol;Spain;ESP;2019;Namibia;NAM;12;11;0;0;0;;1
Repsol;Spain;ESP;2019;Barbados;BRB;10;10;1;0;0;;1
Repsol;Spain;ESP;2019;United Kingdom;GBR;7;-351;0;1;18;0,19;1
Repsol;Spain;ESP;2019;Brazil;BRA;6;-3;0;0;6;0,34;1
Repsol;Spain;ESP;2019;France;FRA;5;2;1;1;18;0,33;1
Repsol;Spain;ESP;2019;Bulgaria;BGR;5;-17;0;0;0;0,1;1
Repsol;Spain;ESP;2019;Russia;RUS;3;-7;0;0;59;0,2;1
Repsol;Spain;ESP;2019;Trinidad and Tobago;TTO;2;-20;0;0;10;;1
Repsol;Spain;ESP;2019;Germany;DEU;2;1;0;0;5;0,3;1
Repsol;Spain;ESP;2019;Greece;GRC;2;-1;0;0;2;0,29;1
Repsol;Spain;ESP;2019;Iraq;IRQ;2;-2;0;0;6;0;1
Repsol;Spain;ESP;2019;Gabon;GAB;1;-2;0;0;0;;1
Repsol;Spain;ESP;2019;Switzerland;CHE;1;0;0;0;3;0,18;1
Repsol;Spain;ESP;2019;Guyana;GUY;1;-23;0;0;1;;1
Repsol;Spain;ESP;2019;Morocco;MAR;1;1;0;0;1;0,31;1
Repsol;Spain;ESP;2019;East Timor;TLS;1;0;0;0;0;;1
Repsol;Spain;ESP;2019;Angola;AGO;1;40;0;0;1;0;1
Repsol;Spain;ESP;2019;Australia;AUS;0;-2;0;0;1;0,3;1
Repsol;Spain;ESP;2019;Ireland;IRL;0;-25;0;0;0;0,125;1
Repsol;Spain;ESP;2019;Romania;ROU;0;-1;0;0;0;0,16;1
Repsol;Spain;ESP;2019;Chile;CHL;0;0;0;0;0;0,26;1
Repsol;Spain;ESP;2019;Aruba;ABW;0;-6;0;0;0;;1
Repsol;Spain;ESP;2019;Bermuda;BMU;0;0;0;0;1;0;1
Repsol;Spain;ESP;2019;Papua New Guinea;PNG;0;-127;0;0;1;;1
Repsol;Spain;ESP;2019;Guinea;GIN;0;0;0;0;0;0,35;1