Country;Alpha-3 country code;Profits in all tax havens;Profits in all tax havens (positive only)
Australia;AUS;1894,225497;2097,077789
Austria;AUT;2410,486725;2410,486725
Canada;CAN;17772,63733;18018,09811
Chile;CHL;-112,9839987;25,68351068
Czech Republic;CZE;510,8311086;510,8311086
Denmark;DNK;3932,117972;3932,117972
Estonia;EST;-4,387312994;0,0070073
Finland;FIN;2444,525024;2462,216243
France;FRA;69634,6589;69983,62851
Germany;DEU;38561,21703;38561,21703
Greece;GRC;475,5269764;475,5269764
Hungary;HUN;541,0817299;541,0817299
Iceland;ISL;14,82489176;14,82489176
Israel;ISR;577,8246556;619,8110975
Italy;ITA;4049,732113;4246,413668
Japan;JPN;20874,50802;20874,50802
Korea;KOR;1693,442094;1693,442094
Latvia;LVA;-1,403720475;0,532202074
Mexico;MEX;3933,047584;4730,177203
New Zealand;NZL;718,5183066;845,6772449
Norway;NOR;5876,310483;5876,310483
Poland;POL;-2733,657572;520,3110808
Portugal;PRT;300,7419173;469,9076204
Slovakia;SVK;97,28053061;97,28053061
Slovenia;SVN;-7,633689909;0,569058548
Spain;ESP;3353,414917;4604,466687
Sweden;SWE;10258,11781;10258,11781
Turkey;TUR;506,3626475;506,3692042
United Kingdom;GBR;58925,64358;61301,97634
United States;USA;330394,4546;342214,5861
Brazil;BRA;7329,922812;7384,807142
China;CHN;49240,30093;50320,98516
Colombia;COL;1080,671824;1083,870791
Costa Rica;CRI;128,958277;130,5577605
India;IND;5059,332436;5059,332436
Russia;RUS;816,6914214;1849,414719
South Africa;ZAF;4780,89405;5302,209136
Argentina;ARG;0;0
Egypt;EGY;0;0
Indonesia;IDN;0;0
Malaysia;MYS;0;0
Nigeria;NGA;0;0
Thailand;THA;0;0
Uruguay;URY;0;0
Venezuela;VEN;0;0